Year,Type,GWh
2010,Wind,2806
2011,Wind,4370
2012,Wind,3999
2013,Wind,4530
2014,Wind,5116
2015,Wind,6536
2016,Wind,6117
2017,Wind,7408
2018,Wind,8600
2019,Wind,9968
2020,Wind,11495
2021,Wind,9667
2022,Wind,11224
2010,Water,552
2011,Water,680
2012,Water,761
2013,Water,573
2014,Water,700
2015,Water,797
2016,Water,673
2017,Water,686
2018,Water,688
2019,Water,877
2020,Water,923
2021,Water,740
2022,Water,700
2010,Gas,17159
2011,Gas,14433
2012,Gas,13076
2013,Gas,12097
2014,Gas,11635
2015,Gas,11483
2016,Gas,14232
2017,Gas,14558
2018,Gas,14870
2019,Gas,14814
2020,Gas,15063
2021,Gas,13993
2022,Gas,15435
2010,Coal,3472
2011,Coal,3835
2012,Coal,4892
2013,Coal,4177
2014,Coal,3934
2015,Coal,4843
2016,Coal,4626
2017,Coal,3551
2018,Coal,2108
2019,Coal,579
2020,Coal,765
2021,Coal,3297
2022,Coal,2512
2010,Peat,2090
2011,Peat,2074
2012,Peat,2415
2013,Peat,2318
2014,Peat,2559
2015,Peat,2522
2016,Peat,2516
2017,Peat,2357
2018,Peat,2247
2019,Peat,2105
2020,Peat,1221
2021,Peat,682
2022,Peat,653
2010,Oil,304
2011,Oil,73
2012,Oil,36
2013,Oil,31
2014,Oil,12
2015,Oil,33
2016,Oil,66
2017,Oil,23
2018,Oil,53
2019,Oil,132
2020,Oil,226
2021,Oil,642
2022,Oil,726
2010,Others,606
2011,Others,663
2012,Others,4379
2013,Others,2346
2014,Others,2238
2015,Others,746
2016,Others,-646
2017,Others,-428
2018,Others,453
2019,Others,1174
2020,Others,360
2021,Others,2157
2022,Others,855
